family,paths,distinct_bytes,model_labels,sample_path,sample_task_order,sample_protocol,caveat
phase7_seeded,12,4,anthropic/claude-sonnet-4.5,data/json/noise_experiments/phase7_seeded/phase3_seeded_s_end_plus_gowith_phase3_8agent_anon_neg5_myth_only/claude-sonnet-4.5/game/default/phase3_seeded_s_end_plus_gowith_003_neutral_rep03_myth_game_directive_anything.json,"[""game""]","{""chat_memory_mode"": ""myth_only"", ""memory_capacity"": 3, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": true, ""seed_reinject"": true}",
phase8_monitored,10,5,anthropic/claude-sonnet-4.5,data/json/phase8_monitored/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_monitored_r10_n5_004_neutral_rep04_myth_game_directive_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""default"", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
phase8_smoke,2,1,anthropic/claude-haiku-4.5,data/json/phase8_smoke/claude-haiku-4.5/myth_game/phase8_monitor_smoke_000_neutral_myth_game_directive_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""default"", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 3, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
population_ledger_gpt_n5_extension_20260821,3,3,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/population_ledger_gpt_n5_extension_20260821/noise8_population_ledger_signed_gpt_n5_extension_game/gpt-5-nano/game/noisy8_population_ledger_signed_gpt_game_r3/noise8_population_ledger_signed_gpt_n5_extension_game_000_neutral_rep02.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""population_ledger"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
population_ledger_myth_game_gpt_n5_20260821,5,5,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/population_ledger_myth_game_gpt_n5_20260821/noise8_population_ledger_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_population_ledger_signed_gpt_twotask_r3/noise8_population_ledger_signed_gpt_n5_myth_game_003_neutral_rep03_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""population_ledger"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
population_ledger_smoke_gpt_20260821,2,2,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/population_ledger_smoke_gpt_20260821/noise8_population_ledger_signed_gpt_smoke_game/gpt-5-nano/game/noisy8_population_ledger_signed_gpt_game_r3/noise8_population_ledger_signed_gpt_smoke_game_001_neutral_rep01.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""population_ledger"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
prompt_tests,4,2,anthropic/claude-sonnet-4.5|openai/gpt-5-nano,data/json/prompt_tests/claude-sonnet-4.5/game_myth/prompt_tests_001_neutral_myth_writing_later_rounds_anything.json,"[""game"", ""myth""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 2, ""num_turns"": 2}",
sonnet45_8agent_game_directive_r10_n5,20,10,anthropic/claude-sonnet-4.5,data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10}",
sonnet45_8agent_game_memprimary_mem3_r10_n5,8,4,anthropic/claude-sonnet-4.5,data/json/sonnet45_8agent_game_memprimary_mem3_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_memprimary_mem3_r10_n5_001_neutral_rep01.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
sonnet45_8agent_game_memprimary_r10_n5,10,5,anthropic/claude-sonnet-4.5,data/json/sonnet45_8agent_game_memprimary_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_memprimary_r10_n5_001_neutral_rep01.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default"", ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
sonnet45_8agent_game_myth_memprimary_r10_n5,10,5,anthropic/claude-sonnet-4.5,data/json/sonnet45_8agent_game_myth_memprimary_r10_n5/claude-sonnet-4.5/game_myth/sonnet45_8agent_game_myth_memprimary_r10_n5_000_neutral_rep00_myth_game_directive_memprimary_anything.json,"[""game"", ""myth""]","{""chat_memory_mode"": ""memory_primary"", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
sonnet45_8agent_memprimary_smoke,2,1,anthropic/claude-haiku-4.5,data/json/sonnet45_8agent_memprimary_smoke/claude-haiku-4.5/myth_game/sonnet45_8agent_memprimary_smoke_000_neutral_myth_game_directive_memprimary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 3, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
sonnet45_8agent_myth_directive_history3_anon_memprimary_r10_n5,10,5,anthropic/claude-sonnet-4.5,data/json/sonnet45_8agent_myth_directive_history3_anon_memprimary_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_memprimary_r10_n5_004_neutral_rep04_myth_game_directive_memprimary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
sonnet45_8agent_myth_directive_history3_anon_r10_n5,10,5,anthropic/claude-sonnet-4.5,data/json/sonnet45_8agent_myth_directive_history3_anon_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_anon_r10_n5_004_neutral_rep04_myth_game_directive_anything.json,"[""myth"", ""game""]","{""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10}",
sonnet45_8agent_myth_directive_history3_r10_n5,10,5,anthropic/claude-sonnet-4.5,data/json/sonnet45_8agent_myth_directive_history3_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything.json,"[""myth"", ""game""]","{""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""num_agents"": 8, ""num_turns"": 10}",
sonnet45_directive_normative_r10_n5,75,30,anthropic/claude-sonnet-4.5,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_003_neutral_rep03.json,"[""game""]","{""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": true, ""range"": 2.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
stable_ids_control_gpt_n5_20260821,5,5,openai/gpt-5-nano,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/stable_ids_control_gpt_n5_20260821/noise8_stable_ids_signed_gpt_n5_game/gpt-5-nano/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_stable_ids_signed_gpt_n5_game_003_neutral_rep03.json,"[""game""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": """", ""history_policy"": ""stable_ids"", ""memory_capacity"": 3, ""myth_default_prompt_key"": ""myth_writing_default"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
v1,912,228,anthropic/claude-sonnet-4.5|google/gemini-3-pro-preview|openai/gpt-5-nano,data/json/noise_experiments/v1/noise_bootstrap/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_012_neutral.json,"[""game""]","{""memory_capacity"": 10, ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v2,355,167,anthropic/claude-haiku-4.5|anthropic/claude-sonnet-4.5|google/gemini-3.1-flash-lite,data/json/noise_experiments/v2/noise2i_memprimary_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary/noise2i_memprimary_game_myth_004_neutral_rep04_memtest_memory_primary_anything.json,"[""game"", ""myth""]","{""chat_memory_mode"": ""memory_primary"", ""history_policy"": ""minimal"", ""memory_capacity"": 2, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",
v2_defector_smoke_20260812,7,7,anthropic/claude-sonnet-4.5,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/v2_defector_smoke_20260812/noise8i_defector_v2_game_myth/claude-sonnet-4.5/game_myth/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_v2_game_myth_001_neutral_rep00_memtest_memory_primary_anything.json,"[""game"", ""myth""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""forced_zero"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""none"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
v2_smoke_20260812,6,6,anthropic/claude-sonnet-4.5,nlet-hf-data/uploaders/vallinder/data/json/noise_experiments/v2_smoke_20260812/noise8i_memprimary_v2_myth_game/claude-sonnet-4.5/myth_game/noisy8_bidirectional_informed_memprimary_twotask_r3/noise8i_memprimary_v2_myth_game_000_neutral_rep00_memtest_memory_primary_anything.json,"[""myth"", ""game""]","{""chat_memory_mode"": ""memory_primary"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""self_and_coplayer"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 8, ""num_turns"": 10, ""seed_myth"": false, ""seed_reinject"": false}",excluded/smoke/repair in name; do not pool
v2_uniform_distribution_noise,1161,387,anthropic/claude-sonnet-4.5|google/gemini-3.1-pro-preview|openai/gpt-5-nano,data/json/noise_experiments/v2_uniform_distribution_noise/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_019_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v3_deterministic_noise,789,263,anthropic/claude-sonnet-4.5|google/gemini-3.1-pro-preview|openai/gpt-5-nano,data/json/noise_experiments/v3_deterministic_noise/noise_deterministic_zero_mem3/claude-sonnet-4.5/game/noisy_deterministic_zero_informed/noise_deterministic_zero_mem3_106_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""zero"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider,2508,836,anthropic/claude-sonnet-4.5|google/gemini-3.1-pro-preview|openai/gpt-5-nano|openai/gpt-5.5,data/json/noise_experiments/v4_direct_provider/noise_negative_mem3_gpt5_5/gpt-5.5/game/noisy_negative_5/noise_negative_mem3_gpt5_5_000_neutral.json,"[""game""]","{""memory_capacity"": 3, ""myth_injection_mode"": ""partner"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_A1A3_combined,222,74,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_A1A3_combined/gpt5nano_partner_myth_plus_reasoning/gpt-5-nano/myth_game/noisy_negative_5/gpt5nano_partner_myth_plus_reasoning_063_neutral_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_A1_adversarial_bootstrap,180,60,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_A1_adversarial_bootstrap/gpt5nano_partner_myth_adversarial_bootstrap/gpt-5-nano/myth_game/noisy_bootstrap_cooperation_informed/gpt5nano_partner_myth_adversarial_bootstrap_051_neutral_trickster_exploitation.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_A1_no_noise,90,30,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_A1_no_noise/gpt5nano_partner_myth_no_noise/gpt-5-nano/myth_game/default/gpt5nano_partner_myth_no_noise_025_neutral_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""noise_config"": null, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_A1_partner_myth,354,118,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_A1_partner_myth/gpt5nano_partner_myth_injection/gpt-5-nano/myth_game/noisy_negative_5/gpt5nano_partner_myth_injection_102_neutral_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_A1_targeted_bootstrap,180,60,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_A1_targeted_bootstrap/gpt5nano_partner_myth_targeted_bootstrap/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/gpt5nano_partner_myth_targeted_bootstrap_014_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_A3_forced_reasoning,333,111,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_A3_forced_reasoning/gpt5nano_forced_reasoning/gpt-5-nano/game/noisy_negative_5/gpt5nano_forced_reasoning_024_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_baseline,270,90,anthropic/claude-sonnet-4.5|openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_baseline/baseline_v4_mem3_direct/claude-sonnet-4.5/game/default/baseline_v4_mem3_direct_052_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": null, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_controls,2694,898,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_controls/gpt5nano_partner_myth_own_negative_5/gpt-5-nano/myth_game/noisy_negative_5/gpt5nano_partner_myth_own_negative_5_042_neutral_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""myth_injection_mode"": ""own"", ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_controls_smoke,9,3,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_controls_smoke/gpt5nano_smoke_partner_myth_shuffled/gpt-5-nano/myth_game/noisy_bootstrap_cooperation/gpt5nano_smoke_partner_myth_shuffled_000_neutral_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""myth_injection_mode"": ""shuffled"", ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": false, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",excluded/smoke/repair in name; do not pool
v4_direct_provider_gpt5_5_probe,90,30,openai/gpt-5.5,data/json/noise_experiments/v4_direct_provider_gpt5_5_probe/gpt5_5_bootstrap_a1_probe/gpt-5.5/game_myth/noisy_bootstrap_cooperation/gpt5_5_bootstrap_a1_probe_001_neutral_anything.json,"[""game"", ""myth""]","{""memory_capacity"": 3, ""myth_injection_mode"": ""partner"", ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": false, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_neutral,321,107,anthropic/claude-sonnet-4.5|openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_neutral/neutral_framing_v4_mem3/claude-sonnet-4.5/game/default/neutral_framing_v4_mem3_051_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": null, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_pilot,18,6,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_pilot/noise_pilot/gpt-5-nano/game/noisy_bidirectional/noise_pilot_005_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": false, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_pilot_minimal,24,8,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_pilot_minimal/noise_pilot/gpt-5-nano/game/noisy_bidirectional/noise_pilot_005_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": false, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_prompt_variants,240,120,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_prompt_variants/gpt5nano_prompt_unconstrained_bootstrap/gpt-5-nano/myth_game/noisy_bootstrap_cooperation_informed/gpt5nano_prompt_unconstrained_bootstrap_051_neutral_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""myth_injection_mode"": ""partner"", ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_shared_context,180,60,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_shared_context/gpt5nano_shared_context_bootstrap/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/gpt5nano_shared_context_bootstrap_011_neutral.json,"[""game""]","{""memory_capacity"": 3, ""myth_injection_mode"": ""partner"", ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_shared_context_pilot,54,18,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_shared_context_pilot/gpt5nano_shared_context_bootstrap_pilot/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/gpt5nano_shared_context_bootstrap_pilot_005_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_targeted_bootstrap,270,90,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_targeted_bootstrap/targeted_myth_bootstrap_gpt5nano/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/targeted_myth_bootstrap_gpt5nano_029_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""returned"", ""inform_agents"": true, ""probability"": 1.0, ""replacement"": ""max"", ""type"": ""probabilistic""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_targeted_gpt5nano,72,24,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game/default/targeted_myth_neutral_gpt5nano_000_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": null, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_targeted_k1_gpt5nano,150,50,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_targeted_k1_gpt5nano/targeted_myth_k1_gpt5nano/gpt-5-nano/game/noisy_positive_1/targeted_myth_k1_gpt5nano_006_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""direction"": ""positive"", ""inform_agents"": false, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_targeted_k2_gpt5nano,150,50,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_targeted_k2_gpt5nano/targeted_myth_k2_gpt5nano/gpt-5-nano/game/noisy_negative_2/targeted_myth_k2_gpt5nano_003_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""direction"": ""negative"", ""inform_agents"": false, ""range"": 2.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",
v4_direct_provider_targeted_neutral_gpt5nano,75,25,openai/gpt-5-nano,data/json/noise_experiments/v4_direct_provider_targeted_neutral_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game/default/targeted_myth_neutral_gpt5nano_000_neutral.json,"[""game""]","{""memory_capacity"": 3, ""noise_config"": null, ""num_agents"": 2, ""num_turns"": 10}",
v4_smoke_test,3,1,openai/gpt-5-nano,data/json/noise_experiments/v4_smoke_test/gpt5nano_smoke_partner_myth/gpt-5-nano/myth_game/noisy_positive_5/gpt5nano_smoke_partner_myth_000_neutral_anything.json,"[""myth"", ""game""]","{""memory_capacity"": 3, ""noise_config"": {""applies_to"": ""both"", ""direction"": ""positive"", ""inform_agents"": false, ""range"": 5.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 10}",excluded/smoke/repair in name; do not pool
washout_20round,60,30,anthropic/claude-sonnet-4.5,data/json/noise_experiments/washout_20round/noise2i_washout_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3_r20/noise2i_washout_game_myth_000_neutral_rep00_memtest_memory_primary_anything.json,"[""game"", ""myth""]","{""chat_memory_mode"": ""memory_primary"", ""defector_action_policy"": ""prompted"", ""game_prompt_addition"": ""Take any myths written in this session into account when making your decision."", ""history_policy"": ""minimal"", ""memory_capacity"": 6, ""myth_default_prompt_key"": ""myth_writing_default_game_directive"", ""noise_config"": {""applies_to"": ""both"", ""inform_agents"": true, ""range"": 1.0, ""type"": ""uniform""}, ""num_agents"": 2, ""num_turns"": 20, ""seed_myth"": false, ""seed_reinject"": false}",
